cluster	kingdom	phylum	class	order	family	genus	species	taxid
DBSCAN_round1_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	Devosia submarina	1173082
DBSCAN_round1_2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	unclassified	174951
DBSCAN_round1_1	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Fulvivirgaceae	Ohtaekwangia	Ohtaekwangia koreensis	688867
DBSCAN_round1_0	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium	Phenylobacterium deserti	1914756
DBSCAN_round1_7	Bacteria	Cyanobacteria	unclassified	Oscillatoriales	Gomontiellaceae	Crinalium	Crinalium epipsammum	241425
DBSCAN_round1_6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	unclassified	186650
DBSCAN_round1_5	Bacteria	Verrucomicrobia	unclassified	unclassified	unclassified	unclassified	Verrucomicrobia bacterium	2026799
DBSCAN_round1_4	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. ID1715	1656898
unclustered	Bacteria	Cyanobacteria	unclassified	Synechococcales	unclassified	unclassified	unclassified	1890424
