Species	Strain ID	BioProject	SRA Run	Habitat	Location
Aetokthonos hydrillicola	B3-Florida	PRJNA617093	SRR12347192	aquatic epiphyte	South Carolina, USA
Aphanocapsa lilacina	HA4352-LM1	PRJNA677053	SRR13206895	cave rock wall	Hawaii, USA
Aphanocapsa sp.	GSE-SYN-MK-11-07L	PRJNA621664	SRR11678123	desert wet wall	Utah, USA
Aphanothece saxicola	GSE-SYN-MK-01-06B	PRJNA621658	SRR11676827	desert wet wall	Utah, USA
Aphanothece sp.	CMT-3BRIN-NPC111	PRJNA617094	SRR12347633	desert soil	California, USA
Brasilonema angustatum	HA4187-MV1	PRJNA617095	SRR12347719	tropical soil	Hawaii, USA
Brasilonema octagenarum	HA4186-MV1	PRJNA621669	SRR11678155	on wood in tropics	Hawaii, USA
Calothrix sp.	FI2-JRJ7	PRJNA617096	SRR12347730	desert soil	California, USA
Chroococcus sp.	CMT-3BRIN-NPC107	PRJNA653492	SRR12688413	desert soil	California, USA
Cyanomargarita calcarea	GSE-NOS-MK-12-04C	PRJNA621661	SRR11676926	desert wet wall	Utah, USA
Cyanosarcina radialis	HA8281-LM2	PRJNA653493	SRR12688412	cave rock wall	Hawaii, USA
Desmonostoc geniculatum	HA4340-LM1	PRJNA621655	SRR11676647	cave rock wall	Hawaii, USA
Desmonostoc vinosum	HA7617-LM4	PRJNA650882	SRR12951526	cave rock wall	Hawaii, USA
Drouetiella hepatica	UHER 2000/2452	PRJNA617097	SRR12347860	rock surface	Kosice, Slovakia
Gloeocapsa sp.	UFS-A4-WI-NPMV-4B04	PRJNA617098	SRR12347921	desert soil	Utah, USA
Goleter apudmare	HA4340-LM2	PRJNA621659	SRR11676930	cave rock wall	Hawaii, USA
Hassallia sp.	WJT32-NPBG1	PRJNA617099	SRR12347922	desert soil	California, USA
Hormoscilla sp.	CMT-3BRIN-NPC48	PRJNA650881	SRR12951525	desert soil	California, USA
Iphinoe sp.	HA4291-MV1	PRJNA617100	SRR12349226	tropical soil	Hawaii, USA
Kaiparowitsia implicata	GSE-PSE-MK54-09C	PRJNA650883	SRR13242888	desert wet wall	Utah, USA
Kastovskya adunca	ATA6-11-RM4	PRJNA621676	SRR11678224	desert soil	Atacama, Chile
Komarekiella atlantica	HA4396-MV6	PRJNA650825	SRR12951531	tropical vernal pool	Hawaii, USA
Lyngbya sp.	HA4199-MV5	PRJNA621654	SRR11676618	tropical soil	Hawaii, USA
Microcoleus vaginatus	WJT46-NPBG5	PRJNA677056	SRR13207170	desert soil	California, USA
Mojavia pulchra	JT2-VF2	PRJNA650826	SRR12951532	desert soil	California, USA
Myxacorys californica	WJT36-NPBG1	PRJNA621674	SRR11678221	desert soil	California, USA
Myxacorys chilensis	ATA2-1-KO14	PRJNA621667	SRR11678144	desert soil	Coquimbo, Chile
Nodosilinea sp.	WJT8-NPBG4	PRJNA621656	SRR11676645	desert soil	California, USA
Nostoc desertorum	CM1-VF14	PRJNA617101	SRR12349250	desert soil	California, USA
Nostoc indistinguendum	CM1-VF10	PRJNA621666	SRR11678133	desert soil	California, USA
Oscillatoria princeps	RMCB-10	PRJNA621670	SRR11678154	surface water	Lower Austria, Austria
Oscillatoria tanganyikae	FI6-MK23	PRJNA621665	SRR11678132	desert soil	California, USA
Pegethrix bostrychoides	GSE-TBD4-15B	PRJNA617102	SRR12349533	desert wet wall	Utah, USA
Pelatocladus maniniholoensis	HA4357-MV3	PRJNA653494	SRR12687981	cave rock wall	Hawaii, USA
Plectolyngbya sp.	WJT66-NPBG17	PRJNA617103	SRR12349534	desert soil	California, USA
Pleurocapsa minor	GSE-CHR-MK-17-07R	PRJNA677054	SRR13207074	desert wet wall	Utah, USA
Pleurocapsa minor	HA4230-MV1	PRJNA617104	SRR12349680	tropical rock wall	Hawaii, USA
Scytolyngbya sp.	HA4215-MV1	PRJNA617105	SRR12349737	freshwater stream	Hawaii, USA
Scytonema hyalinum	WJT4-NPBG1	PRJNA617106	SRR12349874	desert soil	California, USA
Scytonematopsis contorta	HA4267-MV1	PRJNA653495	SRR12688486	tropical vernal pool	Hawaii, USA
Spirirestis raphaelensis	WJT71-NPBG6	PRJNA683097	SRR13242887	desert soil	California, USA
Stenomitos rutilans	HA7619-LM2	PRJNA617107	SRR12350322	cave rock wall	Hawaii, USA
Symplocastrum torsivum	CPER-KK1	PRJNA617108	SRR12350505	grassland soil	Colorado, USA
Tildeniella nuda	ZEHNDER 1965/U140	PRJNA621657	SRR11676687	temperate wet wall	Zurich, Switzerland
Tildeniella torsiva	UHER 1998/13D	PRJNA653496	SRR12689282	temperate wet wall	Kosice, Slovakia
Timaviella obliquedivisa	GSE-PSE-MK23-08B	PRJNA621673	SRR11678220	desert wet wall	Utah, USA
Tolypothrix brevis	GSE-NOS-MK-07-07A	PRJNA621662	SRR11678125	desert wet wall	Utah, USA
Tolypothrix carrinoi	HA7290-LM1	PRJNA621663	SRR11678124	cave rock wall	Hawaii, USA
Trichocoleus desertorum	ATA4-8-CV12	PRJNA621668	SRR11678143	desert soil	Atacama, Chile
"Trichormus" sp.	ATA11-4-KO1	PRJNA621660	SRR11676933	desert soil	Tarapaca, Chile
