Tip_label	Habitat
KR100_14815_Synechococcus_sp._KORDI-100_KORDI-100	aquatic
KR49_07560_Synechococcus_sp._KORDI-49_KORDI-49	aquatic
KR52_04120_Synechococcus_sp._KORDI-52_KORDI-52	aquatic
Lepto7376_2524_Leptolyngbya_sp._PCC_7376_	subaerial
M744_06500_Synechococcus_sp._UTEX_2973_UTEX_2973	NA
MAE_12920_Microcystis_aeruginosa_NIES-843	aquatic
Mic7113_2704_Microcoleus_sp._PCC_7113_PCC_7113	soil
NATL1_02151_Prochlorococcus_marinus_str._NATL1A	aquatic
NPCC7120_1830_Nostoc_sp._PCC_7120_=_FACHB-418_PCC_7120	NA
Nos7107_4143_Nostoc_sp._PCC_7107_PCC_7107	aquatic 
Nos7524_0570_Nostoc_sp._PCC_7524_PCC_7524	aquatic 
Nos7524_4714_Nostoc_sp._PCC_7524_PCC_7524	aquatic 
Npun_R2771_Nostoc_punctiforme_PCC_73102_ATCC_29133__PCC_73102	soil
Osc7112_5866_Oscillatoria_nigro-viridis_PCC_7112	soil
Oscil6304_1227_Oscillatoria_acuminata_PCC_6304	soil
P9215_01601_Prochlorococcus_marinus_str._MIT_9215	aquatic
P9301_01621_Prochlorococcus_marinus_str._MIT_9301	aquatic
P9515_01711_Prochlorococcus_marinus_str._MIT_9515	aquatic
PCC7418_3681_Halothece_sp._PCC_7418_PCC_7418	aquatic
PCC7424_1158_Gloeothece_citriformis_PCC_7424	hydroterrestrial 
PCC8801_0309_Rippkaea_orientalis_PCC_8801	hydroterrestrial 
PMN2A_1509_Prochlorococcus_marinus_str._NATL2A	aquatic
PMT9312_0145_Prochlorococcus_marinus_str._MIT_9312	aquatic
Ple7327_0168_Pleurocapsa_sp._PCC_7327	aquatic
Pro_0166_Prochlorococcus_marinus_subsp._marinus_str._CCMP1375_CCMP1375__SS120	aquatic 
Pse7367_2694_Pseudanabaena_sp._PCC_7367_PCC_7367	NA
Riv7116_4190_Rivularia_sp._PCC_7116_PCC_7116	aquatic
SYNGTI_1272_Synechocystis_sp._PCC_6803_substr._GT-I	aquatic
SYNGTS_1272_Synechocystis_sp._PCC_6803_GT-S	aquatic
SYNPCC7002_A1936_Synechococcus_sp._PCC_7002_PCC_7002__ATCC_27264	hydroterrestrial 
SYNPCCN_1271_Synechocystis_sp._PCC_6803_substr._PCC-N	aquatic
SYNPCCP_1271_Synechocystis_sp._PCC_6803_substr._PCC-P	aquatic
Sta7437_3290_Stanieria_cyanosphaera_PCC_7437	hydroterrestrial 
Syn6312_0495_Synechococcus_sp._PCC_6312_PCC_6312	aquatic
Syn6312_1664_Synechococcus_sp._PCC_6312_PCC_6312	aquatic
Syn7502_02247_Synechococcus_sp._PCC_7502_PCC_7502	aquatic
SynWH8103_02593_Synechococcus_sp._WH_8103_WH_8103	aquatic
Syncc8109_2503_Synechococcus_sp._WH_8109_WH_8109	aquatic
Syncc9605_2394_Synechococcus_sp._CC9605_CC9605	aquatic
Syncc9902_0299_Synechococcus_sp._CC9902_CC9902	aquatic
Synpcc7942_1984_Synechococcus_elongatus_=_FACHB-805_PCC_7942	aquatic
Telo_1559_Thermosynechococcus_elongatus_BP-1	aquatic
Tery_4010_Trichodesmium_erythraeum_IMS101	aquatic 
UCYN_01090_Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_ALOHA	aquatic 
cce_3755_Crocosphaera_subtropica_ATCC_51142	hydroterrestrial 
syc2112_c_Synechococcus_elongatus_PCC_6301	aquatic
sync_2607_Synechococcus_sp._CC9311_CC9311	aquatic
