cluster	kingdom	phylum	class	order	family	genus	species	taxid
DBSCAN_round1_1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Belnapia	unclassified	365532
DBSCAN_round1_0	Bacteria	Cyanobacteria	unclassified	Nostocales	Tolypothrichaceae	Tolypothrix	unclassified	111782
